time,x_sp,xpos_
0.240415,0.971239,-1.4419
0.241391,0.971006,-1.44188
0.242495,0.970742,-1.44188
0.243362,0.970533,-1.44188
0.244364,0.970291,-1.44188
0.245333,0.970056,-1.44188
0.246331,0.969814,-1.44188
0.247457,0.969539,-1.44188
0.248397,0.969308,-1.44188
0.249417,0.969056,-1.44188
0.25035,0.968826,-1.44188
0.251341,0.96858,-1.44188
0.252343,0.96833,-1.44188
0.253335,0.968082,-1.44163
0.25433,0.967832,-1.44163
0.255366,0.967571,-1.44163
0.256356,0.96732,-1.44163
0.257394,0.967057,-1.44163
0.258342,0.966815,-1.44163
0.259376,0.96655,-1.44163
0.260455,0.966273,-1.44163
0.26133,0.966047,-1.44145
0.26235,0.965783,-1.44145
0.263422,0.965505,-1.44145
0.264434,0.96524,-1.44145
0.265421,0.964982,-1.44145
0.26635,0.964738,-1.44145
0.267359,0.964472,-1.44145
0.268397,0.964197,-1.44145
0.269371,0.963939,-1.44145
0.270373,0.963671,-1.44145
0.271329,0.963416,-1.44145
0.27234,0.963144,-1.44145
0.273332,0.962877,-1.44098
0.274435,0.962579,-1.44098
0.27534,0.962333,-1.44098
0.276343,0.96206,-1.44098
0.277336,0.961788,-1.44098
0.278345,0.961512,-1.44098
0.279537,0.961183,-1.44098
0.280452,0.96093,-1.44098
0.281385,0.960672,-1.44065
0.282367,0.960399,-1.44065
0.28336,0.960122,-1.44065
0.284688,0.959749,-1.44065
0.285456,0.959533,-1.44065
0.286334,0.959286,-1.44065
0.28737,0.958993,-1.44065
0.288339,0.958718,-1.44065
0.289372,0.958423,-1.44065
0.290366,0.958139,-1.44065
0.291341,0.957859,-1.44065
0.292346,0.95757,-1.44065
0.293331,0.957286,-1.43986
0.29437,0.956985,-1.43986
0.295437,0.956675,-1.43986
0.296398,0.956395,-1.43986
0.297342,0.956119,-1.43986
0.298329,0.955829,-1.43986
0.299375,0.955521,-1.43986
0.30037,0.955227,-1.43986
0.301331,0.954942,-1.43928
0.30233,0.954645,-1.43928
0.303327,0.954348,-1.43928
0.304342,0.954044,-1.43928
0.305332,0.953747,-1.43928
0.306327,0.953448,-1.43928
0.307339,0.953142,-1.43928
0.308476,0.952797,-1.43928
0.30934,0.952535,-1.43928
0.310331,0.952232,-1.43928
0.311331,0.951927,-1.43928
0.312389,0.951602,-1.43928
0.313379,0.951297,-1.43808
0.314409,0.950979,-1.43808
0.315339,0.950691,-1.43808
0.316346,0.950378,-1.43808
0.317346,0.950067,-1.43808
0.318341,0.949756,-1.43808
0.319348,0.94944,-1.43808
0.32038,0.949116,-1.43808
0.321409,0.948791,-1.43727
0.322347,0.948494,-1.43727
0.323344,0.948178,-1.43727
0.324468,0.947821,-1.43727
0.325392,0.947526,-1.43727
0.326335,0.947223,-1.43727
